import_row_id,display_name,wikidata_id,fname,lname
events_2023-10-11_014,Jeffrey Skoller,,Jeffrey,Skoller
events_2023-10-11_015,Jeffrey Skoller,,Jeffrey,Skoller
events_2023-10-11_007,Lindsay McIntyre,,Lindsay,McIntyre
events_2023-10-11_008,Lindsay McIntyre,,Lindsay,McIntyre
events_2023-10-11_009,Lindsay McIntyre,,Lindsay,McIntyre
events_2023-10-11_010,Lindsay McIntyre,,Lindsay,McIntyre
events_2023-10-11_011,Lindsay McIntyre,,Lindsay,McIntyre
events_2023-10-11_012,Lindsay McIntyre,,Lindsay,McIntyre
events_2023-10-11_013,Lindsay McIntyre,,Lindsay,McIntyre
